id,top-left-square,top-right-square,top-middle-square,middle-left-square,middle-right-square,middle-middle-square,bottom-left-square,bottom-right-square,bottom-middle-square
115,x,o,x,x,o,o,x,x,o
116,x,o,x,x,o,o,x,b,b
117,x,o,x,x,o,b,x,b,o
118,x,o,x,x,b,o,x,o,b
119,x,o,x,x,b,o,x,b,o
120,x,o,x,x,b,b,x,o,o
121,x,o,x,o,x,x,x,o,o
122,x,o,x,o,x,x,o,o,x
123,x,o,x,o,x,o,x,x,o
124,x,o,x,o,x,o,x,o,x
125,x,o,x,o,x,o,x,b,b
126,x,o,x,o,x,o,o,x,x
127,x,o,x,o,x,o,b,b,x
128,x,o,x,o,x,b,x,o,b
129,x,o,x,o,x,b,x,b,o
130,x,o,x,o,x,b,o,b,x
131,x,o,x,o,x,b,b,o,x
132,x,o,x,o,o,x,o,x,x
133,x,o,x,o,o,x,b,b,x
134,x,o,x,o,b,x,o,b,x
135,x,o,x,o,b,x,b,o,x
136,x,o,x,b,x,o,x,o,b
137,x,o,x,b,x,o,x,b,o
138,x,o,x,b,x,o,o,b,x
139,x,o,x,b,x,o,b,o,x
140,x,o,x,b,x,b,x,o,o
141,x,o,x,b,x,b,o,o,x
142,x,o,x,b,o,x,o,b,x
143,x,o,x,b,b,x,o,o,x
144,x,o,o,x,x,x,x,o,o
145,x,o,o,x,x,x,o,x,o
146,x,o,o,x,x,x,o,o,x
147,x,o,o,x,x,x,o,b,b
148,x,o,o,x,x,x,b,o,b
149,x,o,o,x,x,x,b,b,o
150,x,o,o,x,x,o,x,o,x
151,x,o,o,x,x,o,x,b,b
152,x,o,o,x,x,o,o,x,x
153,x,o,o,x,x,o,b,b,x
154,x,o,o,x,x,b,x,o,b
155,x,o,o,x,x,b,x,b,o
156,x,o,o,x,x,b,o,b,x
157,x,o,o,x,x,b,b,o,x
158,x,o,o,x,o,x,x,x,o
159,x,o,o,x,o,x,x,b,b
160,x,o,o,x,o,o,x,x,x
161,x,o,o,x,o,b,x,x,b
162,x,o,o,x,o,b,x,b,x
163,x,o,o,x,b,x,x,o,b
164,x,o,o,x,b,x,x,b,o
165,x,o,o,x,b,o,x,x,b
166,x,o,o,x,b,o,x,b,x
167,x,o,o,x,b,b,x,x,o
168,x,o,o,x,b,b,x,o,x
169,x,o,o,x,b,b,x,b,b
170,x,o,o,o,x,x,x,o,x
171,x,o,o,o,x,x,o,x,x
172,x,o,o,o,x,x,b,b,x
173,x,o,o,o,x,o,x,x,x
174,x,o,o,o,x,b,x,b,x
175,x,o,o,o,x,b,b,x,x
176,x,o,o,o,o,x,x,x,x
177,x,o,o,o,b,b,x,x,x
178,x,o,o,b,x,x,o,b,x
179,x,o,o,b,x,x,b,o,x
180,x,o,o,b,x,o,x,b,x
181,x,o,o,b,x,o,b,x,x
182,x,o,o,b,x,b,x,o,x
183,x,o,o,b,x,b,o,x,x
184,x,o,o,b,x,b,b,b,x
185,x,o,o,b,o,b,x,x,x
186,x,o,o,b,b,o,x,x,x
187,x,o,b,x,x,x,o,o,b
188,x,o,b,x,x,x,o,b,o
189,x,o,b,x,x,x,b,o,o
190,x,o,b,x,x,o,x,o,b
191,x,o,b,x,x,o,x,b,o
192,x,o,b,x,x,o,o,b,x
193,x,o,b,x,x,o,b,o,x
194,x,o,b,x,x,b,x,o,o
195,x,o,b,x,x,b,o,o,x
196,x,o,b,x,o,x,x,b,o
197,x,o,b,x,o,o,x,x,b
198,x,o,b,x,o,o,x,b,x
199,x,o,b,x,o,b,x,x,o
200,x,o,b,x,o,b,x,b,b
201,x,o,b,x,b,x,x,o,o
202,x,o,b,x,b,o,x,x,o
203,x,o,b,x,b,o,x,o,x
204,x,o,b,x,b,o,x,b,b
205,x,o,b,x,b,b,x,o,b
206,x,o,b,x,b,b,x,b,o
207,x,o,b,o,x,x,o,b,x
208,x,o,b,o,x,x,b,o,x
209,x,o,b,o,x,o,x,b,x
210,x,o,b,o,x,o,b,x,x
211,x,o,b,o,x,b,x,o,x
212,x,o,b,o,x,b,o,x,x
213,x,o,b,o,x,b,b,b,x
214,x,o,b,o,o,b,x,x,x
215,x,o,b,o,b,o,x,x,x
216,x,o,b,b,x,x,o,o,x
217,x,o,b,b,x,o,x,o,x
218,x,o,b,b,x,o,o,x,x
219,x,o,b,b,x,o,b,b,x
220,x,o,b,b,x,b,o,b,x
221,x,o,b,b,x,b,b,o,x
222,x,o,b,b,o,o,x,x,x
223,x,b,x,x,o,o,x,o,b
224,x,b,x,x,o,o,x,b,o
225,x,b,x,x,o,b,x,o,o
226,x,b,x,x,b,o,x,o,o
227,x,b,x,o,x,o,x,o,b
228,x,b,x,o,x,o,x,b,o
229,x,b,x,o,x,o,o,b,x
230,x,b,x,o,x,o,b,o,x
231,x,b,x,o,x,b,x,o,o
232,x,b,x,o,x,b,o,o,x
233,x,b,x,o,o,x,o,b,x
234,x,b,x,o,o,x,b,o,x
235,x,b,x,o,b,x,o,o,x
236,x,b,x,b,x,o,x,o,o
237,x,b,x,b,x,o,o,o,x
238,x,b,x,b,o,x,o,o,x
239,x,b,o,x,x,x,o,o,b
240,x,b,o,x,x,x,o,b,o
241,x,b,o,x,x,x,b,o,o
242,x,b,o,x,x,o,x,o,b
243,x,b,o,x,x,o,o,b,x
244,x,b,o,x,x,o,b,o,x
245,x,b,o,x,x,b,x,o,o
246,x,b,o,x,x,b,o,o,x
247,x,b,o,x,o,x,x,o,b
248,x,b,o,x,o,x,x,b,o
249,x,b,o,x,o,o,x,x,b
250,x,b,o,x,o,o,x,b,x
251,x,b,o,x,o,b,x,x,o
252,x,b,o,x,o,b,x,o,x
253,x,b,o,x,o,b,x,b,b
254,x,b,o,x,b,x,x,o,o
255,x,b,o,x,b,o,x,o,x
256,x,b,o,x,b,o,x,b,b
257,x,b,o,x,b,b,x,o,b
258,x,b,o,x,b,b,x,b,o
259,x,b,o,o,x,x,o,b,x
260,x,b,o,o,x,x,b,o,x
261,x,b,o,o,x,o,x,b,x
262,x,b,o,o,x,o,b,x,x
263,x,b,o,o,x,b,x,o,x
264,x,b,o,o,x,b,o,x,x
265,x,b,o,o,x,b,b,b,x
266,x,b,o,o,o,b,x,x,x
267,x,b,o,o,b,o,x,x,x
268,x,b,o,b,x,x,o,o,x
269,x,b,o,b,x,o,x,o,x
270,x,b,o,b,x,o,o,x,x
271,x,b,o,b,x,o,b,b,x
272,x,b,o,b,x,b,o,b,x
273,x,b,o,b,x,b,b,o,x
274,x,b,o,b,o,o,x,x,x
275,x,b,b,x,x,o,x,o,o
276,x,b,b,x,x,o,o,o,x
277,x,b,b,x,o,x,x,o,o
278,x,b,b,x,o,o,x,x,o
279,x,b,b,x,o,o,x,o,x
280,x,b,b,x,o,o,x,b,b
281,x,b,b,x,o,b,x,o,b
282,x,b,b,x,o,b,x,b,o
283,x,b,b,x,b,o,x,o,b
284,x,b,b,x,b,o,x,b,o
285,x,b,b,x,b,b,x,o,o
286,x,b,b,o,x,x,o,o,x
287,x,b,b,o,x,o,x,o,x
288,x,b,b,o,x,o,o,x,x
289,x,b,b,o,x,o,b,b,x
290,x,b,b,o,x,b,o,b,x
291,x,b,b,o,x,b,b,o,x
292,x,b,b,b,x,o,o,b,x
293,x,b,b,b,x,o,b,o,x
294,x,b,b,b,x,b,o,o,x
295,o,x,x,x,x,o,x,o,o
296,o,x,x,x,x,o,o,x,o
297,o,x,x,x,o,x,o,o,x
298,o,x,x,o,x,x,x,o,o
299,o,x,x,o,x,o,x,x,o
300,o,x,x,o,x,o,x,o,x
301,o,x,x,o,x,o,x,b,b
302,o,x,x,o,x,o,b,x,b
303,o,x,x,o,x,b,x,o,b
304,o,x,x,o,x,b,x,b,o
305,o,x,x,o,x,b,b,x,o
306,o,x,x,o,o,x,x,o,x
307,o,x,x,o,o,x,b,b,x
308,o,x,x,o,b,x,b,o,x
309,o,x,x,b,x,o,x,o,b
310,o,x,x,b,x,o,x,b,o
311,o,x,x,b,x,o,o,x,b
312,o,x,x,b,x,o,b,x,o
313,o,x,x,b,x,b,x,o,o
314,o,x,x,b,x,b,o,x,o
315,o,x,x,b,o,x,o,b,x
316,o,x,x,b,o,x,b,o,x
317,o,x,x,b,b,x,o,o,x
318,o,x,o,x,x,x,x,o,o
319,o,x,o,x,x,x,o,x,o
320,o,x,o,x,x,x,o,o,x
321,o,x,o,x,x,x,o,b,b
322,o,x,o,x,x,x,b,o,b
323,o,x,o,x,x,x,b,b,o
324,o,x,o,x,x,o,o,x,x
325,o,x,o,x,x,o,b,x,b
326,o,x,o,x,x,b,o,x,b
327,o,x,o,x,x,b,b,x,o
328,o,x,o,x,o,o,x,x,x
329,o,x,o,o,x,x,x,x,o
330,o,x,o,o,x,x,b,x,b
331,o,x,o,o,x,o,x,x,x
332,o,x,o,o,x,b,x,x,b
333,o,x,o,o,x,b,b,x,x
334,o,x,o,o,o,x,x,x,x
335,o,x,o,o,b,b,x,x,x
336,o,x,o,b,x,x,o,x,b
337,o,x,o,b,x,x,b,x,o
338,o,x,o,b,x,o,x,x,b
339,o,x,o,b,x,o,b,x,x
340,o,x,o,b,x,b,x,x,o
341,o,x,o,b,x,b,o,x,x
342,o,x,o,b,x,b,b,x,b
343,o,x,o,b,o,b,x,x,x
344,o,x,o,b,b,o,x,x,x
345,o,x,b,x,x,x,o,o,b
346,o,x,b,x,x,x,o,b,o
347,o,x,b,x,x,x,b,o,o
348,o,x,b,x,x,o,o,x,b
349,o,x,b,x,x,o,b,x,o
350,o,x,b,x,x,b,o,x,o
351,o,x,b,o,x,x,b,x,o
352,o,x,b,o,x,o,x,x,b
353,o,x,b,o,x,o,b,x,x
354,o,x,b,o,x,b,x,x,o
355,o,x,b,o,x,b,b,x,b
356,o,x,b,o,o,b,x,x,x
357,o,x,b,o,b,o,x,x,x
358,o,x,b,b,x,x,o,x,o
359,o,x,b,b,x,o,x,x,o
360,o,x,b,b,x,o,o,x,x
361,o,x,b,b,x,o,b,x,b
362,o,x,b,b,x,b,o,x,b
363,o,x,b,b,x,b,b,x,o
364,o,x,b,b,o,o,x,x,x
365,o,o,x,x,x,x,x,o,o
366,o,o,x,x,x,x,o,x,o
367,o,o,x,x,x,x,o,o,x
368,o,o,x,x,x,x,o,b,b
369,o,o,x,x,x,x,b,o,b
370,o,o,x,x,x,x,b,b,o
371,o,o,x,x,x,o,x,x,o
372,o,o,x,x,x,o,x,o,x
373,o,o,x,x,x,o,x,b,b
374,o,o,x,x,x,b,x,o,b
375,o,o,x,x,x,b,x,b,o
376,o,o,x,x,o,x,o,x,x
377,o,o,x,x,o,x,b,b,x
378,o,o,x,x,o,o,x,x,x
379,o,o,x,x,b,x,o,b,x
380,o,o,x,x,b,x,b,o,x
381,o,o,x,o,x,x,x,x,o
382,o,o,x,o,x,x,x,o,x
383,o,o,x,o,x,x,x,b,b
384,o,o,x,o,x,x,b,b,x
385,o,o,x,o,x,o,x,x,x
386,o,o,x,o,x,b,x,x,b
387,o,o,x,o,x,b,x,b,x
388,o,o,x,o,o,x,x,x,x
389,o,o,x,o,b,x,x,b,x
390,o,o,x,o,b,x,b,x,x
391,o,o,x,o,b,b,x,x,x
392,o,o,x,b,x,x,x,o,b
393,o,o,x,b,x,x,x,b,o
394,o,o,x,b,x,x,o,b,x
395,o,o,x,b,x,x,b,o,x
396,o,o,x,b,x,o,x,x,b
397,o,o,x,b,x,o,x,b,x
398,o,o,x,b,x,b,x,x,o
399,o,o,x,b,x,b,x,o,x
400,o,o,x,b,x,b,x,b,b
401,o,o,x,b,o,x,x,b,x
402,o,o,x,b,o,x,b,x,x
403,o,o,x,b,o,b,x,x,x
404,o,o,x,b,b,x,x,o,x
405,o,o,x,b,b,x,o,x,x
406,o,o,x,b,b,x,b,b,x
407,o,o,x,b,b,o,x,x,x
408,o,o,b,x,x,x,x,o,b
409,o,o,b,x,x,x,x,b,o
410,o,o,b,x,x,x,o,x,b
411,o,o,b,x,x,x,o,b,x
412,o,o,b,x,x,x,b,x,o
413,o,o,b,x,x,x,b,o,x
414,o,o,b,x,x,x,b,b,b
415,o,o,b,x,o,b,x,x,x
416,o,o,b,x,b,o,x,x,x
417,o,o,b,o,x,b,x,x,x
418,o,o,b,o,b,x,x,x,x
419,o,o,b,b,x,o,x,x,x
420,o,o,b,b,o,x,x,x,x
421,o,o,b,b,b,b,x,x,x
422,o,b,x,x,x,x,o,o,b
423,o,b,x,x,x,x,o,b,o
424,o,b,x,x,x,x,b,o,o
425,o,b,x,x,x,o,x,o,b
426,o,b,x,x,x,o,x,b,o
427,o,b,x,x,x,b,x,o,o
428,o,b,x,x,o,x,o,b,x
429,o,b,x,x,o,x,b,o,x
430,o,b,x,x,b,x,o,o,x
431,o,b,x,o,x,x,x,o,b
432,o,b,x,o,x,x,x,b,o
433,o,b,x,o,x,x,b,o,x
434,o,b,x,o,x,o,x,x,b
435,o,b,x,o,x,o,x,b,x
436,o,b,x,o,x,b,x,x,o
437,o,b,x,o,x,b,x,o,x
438,o,b,x,o,x,b,x,b,b
439,o,b,x,o,o,x,x,b,x
440,o,b,x,o,o,x,b,x,x
441,o,b,x,o,o,b,x,x,x
442,o,b,x,o,b,x,x,o,x
443,o,b,x,o,b,x,b,b,x
444,o,b,x,o,b,o,x,x,x
445,o,b,x,b,x,x,x,o,o
446,o,b,x,b,x,x,o,o,x
447,o,b,x,b,x,o,x,x,o
448,o,b,x,b,x,o,x,o,x
449,o,b,x,b,x,o,x,b,b
450,o,b,x,b,x,b,x,o,b
451,o,b,x,b,x,b,x,b,o
452,o,b,x,b,o,x,x,o,x
453,o,b,x,b,o,x,o,x,x
454,o,b,x,b,o,x,b,b,x
455,o,b,x,b,o,o,x,x,x
456,o,b,x,b,b,x,o,b,x
457,o,b,x,b,b,x,b,o,x
458,o,b,o,x,x,x,x,o,b
459,o,b,o,x,x,x,x,b,o
460,o,b,o,x,x,x,o,x,b
461,o,b,o,x,x,x,o,b,x
462,o,b,o,x,x,x,b,x,o
463,o,b,o,x,x,x,b,o,x
464,o,b,o,x,x,x,b,b,b
465,o,b,o,x,o,b,x,x,x
466,o,b,o,x,b,o,x,x,x
467,o,b,o,o,x,b,x,x,x
468,o,b,o,o,b,x,x,x,x
469,o,b,o,b,x,o,x,x,x
470,o,b,o,b,o,x,x,x,x
471,o,b,o,b,b,b,x,x,x
472,o,b,b,x,x,x,x,o,o
473,o,b,b,x,x,x,o,x,o
474,o,b,b,x,x,x,o,o,x
475,o,b,b,x,x,x,o,b,b
476,o,b,b,x,x,x,b,o,b
477,o,b,b,x,x,x,b,b,o
478,o,b,b,x,o,o,x,x,x
479,o,b,b,o,x,o,x,x,x
480,o,b,b,o,o,x,x,x,x
481,o,b,b,o,b,b,x,x,x
482,o,b,b,b,o,b,x,x,x
483,o,b,b,b,b,o,x,x,x
484,b,x,x,o,x,o,x,o,b
485,b,x,x,o,x,o,x,b,o
486,b,x,x,o,x,o,o,x,b
487,b,x,x,o,x,o,b,x,o
488,b,x,x,o,x,b,x,o,o
489,b,x,x,o,x,b,o,x,o
490,b,x,x,o,o,x,o,b,x
491,b,x,x,o,o,x,b,o,x
492,b,x,x,o,b,x,o,o,x
493,b,x,x,b,x,o,x,o,o
494,b,x,x,b,x,o,o,x,o
495,b,x,x,b,o,x,o,o,x
496,b,x,o,x,x,x,o,o,b
497,b,x,o,x,x,x,o,b,o
498,b,x,o,x,x,x,b,o,o
499,b,x,o,x,x,o,o,x,b
500,b,x,o,x,x,b,o,x,o
501,b,x,o,o,x,x,o,x,b
502,b,x,o,o,x,x,b,x,o
503,b,x,o,o,x,o,x,x,b
504,b,x,o,o,x,o,b,x,x
505,b,x,o,o,x,b,x,x,o
506,b,x,o,o,x,b,o,x,x
507,b,x,o,o,x,b,b,x,b
508,b,x,o,o,o,b,x,x,x
509,b,x,o,o,b,o,x,x,x
510,b,x,o,b,x,x,o,x,o
511,b,x,o,b,x,o,o,x,x
512,b,x,o,b,x,o,b,x,b
513,b,x,o,b,x,b,o,x,b
514,b,x,o,b,x,b,b,x,o
515,b,x,o,b,o,o,x,x,x
516,b,x,b,x,x,o,o,x,o
517,b,x,b,o,x,x,o,x,o
518,b,x,b,o,x,o,x,x,o
519,b,x,b,o,x,o,o,x,x
520,b,x,b,o,x,o,b,x,b
521,b,x,b,o,x,b,o,x,b
522,b,x,b,o,x,b,b,x,o
523,b,x,b,b,x,o,o,x,b
524,b,x,b,b,x,o,b,x,o
525,b,x,b,b,x,b,o,x,o
526,b,o,x,x,x,x,o,o,b
527,b,o,x,x,x,x,o,b,o
528,b,o,x,x,x,x,b,o,o
529,b,o,x,x,x,o,x,o,b
530,b,o,x,x,x,o,x,b,o
531,b,o,x,x,x,b,x,o,o
532,b,o,x,x,o,x,o,b,x
533,b,o,x,x,b,x,o,o,x
534,b,o,x,o,x,x,x,o,b
535,b,o,x,o,x,x,x,b,o
536,b,o,x,o,x,x,o,b,x
537,b,o,x,o,x,x,b,o,x
538,b,o,x,o,x,o,x,x,b
539,b,o,x,o,x,o,x,b,x
540,b,o,x,o,x,b,x,x,o
541,b,o,x,o,x,b,x,o,x
542,b,o,x,o,x,b,x,b,b
543,b,o,x,o,o,x,x,b,x
544,b,o,x,o,o,x,b,x,x
545,b,o,x,o,o,b,x,x,x
546,b,o,x,o,b,x,x,o,x
547,b,o,x,o,b,x,o,x,x
548,b,o,x,o,b,x,b,b,x
549,b,o,x,o,b,o,x,x,x
550,b,o,x,b,x,x,x,o,o
551,b,o,x,b,x,x,o,o,x
552,b,o,x,b,x,o,x,x,o
553,b,o,x,b,x,o,x,o,x
554,b,o,x,b,x,o,x,b,b
555,b,o,x,b,x,b,x,o,b
556,b,o,x,b,x,b,x,b,o
557,b,o,x,b,o,x,o,x,x
558,b,o,x,b,o,x,b,b,x
559,b,o,x,b,o,o,x,x,x
560,b,o,x,b,b,x,o,b,x
561,b,o,x,b,b,x,b,o,x
562,b,o,o,x,x,x,x,o,b
563,b,o,o,x,x,x,x,b,o
564,b,o,o,x,x,x,o,x,b
565,b,o,o,x,x,x,o,b,x
566,b,o,o,x,x,x,b,x,o
567,b,o,o,x,x,x,b,o,x
568,b,o,o,x,x,x,b,b,b
569,b,o,o,x,o,b,x,x,x
570,b,o,o,x,b,o,x,x,x
571,b,o,o,o,x,b,x,x,x
572,b,o,o,o,b,x,x,x,x
573,b,o,o,b,x,o,x,x,x
574,b,o,o,b,o,x,x,x,x
575,b,o,o,b,b,b,x,x,x
576,b,o,b,x,x,x,x,o,o
577,b,o,b,x,x,x,o,x,o
578,b,o,b,x,x,x,o,o,x
579,b,o,b,x,x,x,o,b,b
580,b,o,b,x,x,x,b,o,b
581,b,o,b,x,x,x,b,b,o
582,b,o,b,x,o,o,x,x,x
583,b,o,b,o,x,o,x,x,x
584,b,o,b,o,o,x,x,x,x
585,b,o,b,o,b,b,x,x,x
586,b,o,b,b,o,b,x,x,x
587,b,o,b,b,b,o,x,x,x
588,b,b,x,x,x,o,x,o,o
589,b,b,x,x,o,x,o,o,x
590,b,b,x,o,x,x,x,o,o
591,b,b,x,o,x,x,o,o,x
592,b,b,x,o,x,o,x,x,o
593,b,b,x,o,x,o,x,o,x
594,b,b,x,o,x,o,x,b,b
595,b,b,x,o,x,b,x,o,b
596,b,b,x,o,x,b,x,b,o
597,b,b,x,o,o,x,x,o,x
598,b,b,x,o,o,x,o,x,x
599,b,b,x,o,o,x,b,b,x
600,b,b,x,o,b,x,o,b,x
601,b,b,x,o,b,x,b,o,x
602,b,b,x,b,x,o,x,o,b
603,b,b,x,b,x,o,x,b,o
604,b,b,x,b,x,b,x,o,o
605,b,b,x,b,o,x,o,b,x
606,b,b,x,b,o,x,b,o,x
607,b,b,x,b,b,x,o,o,x
608,b,b,o,x,x,x,x,o,o
609,b,b,o,x,x,x,o,x,o
610,b,b,o,x,x,x,o,o,x
611,b,b,o,x,x,x,o,b,b
612,b,b,o,x,x,x,b,o,b
613,b,b,o,x,x,x,b,b,o
614,b,b,o,x,o,o,x,x,x
615,b,b,o,o,x,o,x,x,x
616,b,b,o,o,o,x,x,x,x
617,b,b,o,o,b,b,x,x,x
618,b,b,o,b,o,b,x,x,x
619,b,b,o,b,b,o,x,x,x
620,b,b,b,x,x,x,o,o,b
621,b,b,b,x,x,x,o,b,o
622,b,b,b,x,x,x,b,o,o
623,b,b,b,o,o,b,x,x,x
624,b,b,b,o,b,o,x,x,x
625,b,b,b,b,o,o,x,x,x
626,x,x,o,x,x,o,o,b,o
627,x,x,o,x,x,o,b,o,o
628,x,x,o,x,x,b,o,o,o
629,x,x,o,x,o,x,o,o,b
630,x,x,o,x,o,x,o,b,o
631,x,x,o,x,o,o,o,x,b
632,x,x,o,x,o,o,o,b,x
633,x,x,o,x,o,o,b,x,o
634,x,x,o,x,o,b,o,x,o
635,x,x,o,x,o,b,o,o,x
636,x,x,o,x,o,b,o,b,b
637,x,x,o,x,b,x,o,o,o
638,x,x,o,x,b,o,o,x,o
639,x,x,o,x,b,o,b,b,o
640,x,x,o,o,x,o,x,b,o
641,x,x,o,o,o,x,o,x,b
642,x,x,o,o,o,x,o,b,x
643,x,x,o,o,o,o,x,x,b
644,x,x,o,o,o,o,x,b,x
645,x,x,o,o,o,o,b,x,x
646,x,x,o,o,o,b,o,x,x
647,x,x,o,o,b,o,x,x,o
648,x,x,o,b,x,x,o,o,o
649,x,x,o,b,x,o,x,o,o
650,x,x,o,b,x,o,b,b,o
651,x,x,o,b,o,x,o,x,o
652,x,x,o,b,o,x,o,o,x
653,x,x,o,b,o,x,o,b,b
654,x,x,o,b,o,o,x,x,o
655,x,x,o,b,o,o,o,x,x
656,x,x,o,b,o,b,o,x,b
657,x,x,o,b,o,b,o,b,x
658,x,x,o,b,b,o,x,b,o
659,x,x,o,b,b,o,b,x,o
660,x,x,b,x,x,o,o,o,o
661,x,x,b,x,o,x,o,o,o
662,x,x,b,x,b,b,o,o,o
663,x,x,b,o,x,x,o,o,o
664,x,x,b,o,o,o,x,x,o
665,x,x,b,o,o,o,x,o,x
666,x,x,b,o,o,o,x,b,b
667,x,x,b,o,o,o,o,x,x
668,x,x,b,o,o,o,b,x,b
669,x,x,b,o,o,o,b,b,x
670,x,x,b,b,x,b,o,o,o
671,x,x,b,b,b,x,o,o,o
672,x,o,x,x,x,b,o,o,o
673,x,o,x,x,o,x,o,o,b
674,x,o,x,x,o,x,b,o,o
675,x,o,x,x,o,o,b,o,x
676,x,o,x,x,o,b,o,o,x
677,x,o,x,x,o,b,b,o,b
678,x,o,x,x,b,x,o,o,o
679,x,o,x,o,o,x,x,o,b
680,x,o,x,o,o,o,x,x,b
681,x,o,x,o,o,o,x,b,x
682,x,o,x,o,o,o,b,x,x
683,x,o,x,o,o,b,x,o,x
684,x,o,x,b,x,x,o,o,o
685,x,o,x,b,o,x,x,o,o
686,x,o,x,b,o,x,b,o,b
687,x,o,x,b,o,o,x,o,x
688,x,o,x,b,o,b,x,o,b
689,x,o,x,b,o,b,b,o,x
690,x,o,o,x,x,o,b,x,o
691,x,o,o,x,o,x,o,x,b
692,x,o,o,x,o,x,o,b,x
