id,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
68,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045
69,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045
70,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045
71,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343
72,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896
73,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045
74,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045
75,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343
76,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642
77,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239
78,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284
79,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985
80,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642
81,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194
82,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239
83,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537
84,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537
85,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239
86,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194
87,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045
88,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045
89,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0
90,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896
91,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896
92,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0
93,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896
94,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896
95,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239
96,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642
97,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239
98,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194
99,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985
100,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284
101,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284
102,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284
103,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284
104,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985
105,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194
106,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194
107,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896
108,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194
109,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343
110,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045
111,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642
112,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194
113,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343
114,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0
115,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0
116,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0
117,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0
118,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896
119,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896
120,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045
121,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0
122,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0
123,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0
124,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0
125,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896
126,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0
127,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045
128,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642
129,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0
130,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642
131,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642
132,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343
133,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896
134,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642
135,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239
136,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836
137,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194
138,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194
139,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239
140,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239
141,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343
142,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0
143,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0
144,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343
145,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537
146,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985
147,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284
148,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239
149,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537
150,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836
151,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537
152,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642
153,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642
154,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0
155,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896
156,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896
157,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045
158,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343
159,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642
160,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642
161,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642
162,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896
163,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0
164,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642
165,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642
166,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642
167,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642
168,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045
169,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045
170,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045
171,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642
172,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881
173,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582
174,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284
175,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925
176,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478
177,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478
178,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522
179,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985
180,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537
181,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537
182,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582
183,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881
184,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478
185,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881
186,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627
187,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627
188,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179
189,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194
190,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194
191,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836
192,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194
193,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836
194,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224
195,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881
196,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224
197,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478
198,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478
199,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627
200,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582
201,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478
202,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881
203,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284
204,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284
205,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537
206,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179
207,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985
208,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194
209,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836
210,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836
211,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239
212,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239
213,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343
214,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537
215,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836
216,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239
217,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836
218,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537
219,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985
220,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836
221,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836
222,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836
223,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239
224,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239
225,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343
226,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045
227,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239
228,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642
229,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642
230,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194
231,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642
232,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642
233,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045
234,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642
235,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194
236,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343
237,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343
238,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0
239,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896
240,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642
241,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642
242,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343
243,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045
244,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896
245,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896
246,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896
247,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239
248,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239
249,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045
250,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0
251,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194
252,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896
253,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045
254,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896
255,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896
256,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045
257,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343
258,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642
259,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343
260,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343
261,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642
262,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284
263,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239
264,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881
265,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821
266,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582
267,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284
268,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179
269,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284
270,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582
271,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224
272,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179
273,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284
274,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284
275,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478
276,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179
277,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836
278,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836
279,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582
280,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284
281,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537
282,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985
283,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343
284,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343
285,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194
286,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284
287,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582
288,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478
289,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179
290,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478
291,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881
292,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985
293,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582
294,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836
295,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284
296,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537
297,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239
298,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985
299,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284
300,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194
301,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194
302,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642
303,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343
304,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045
305,1,0,1,5,0,5,1,1,0.1,0.1364,0.54,0.0896
306,1,0,1,6,0,5,1,1,0.1,0.1818,0.54,0.0
307,1,0,1,7,0,5,1,1,0.1,0.1212,0.74,0.1642
308,1,0,1,8,0,5,1,1,0.12,0.1667,0.68,0.0
309,1,0,1,9,0,5,1,1,0.14,0.1515,0.69,0.1343
310,1,0,1,10,0,5,1,1,0.18,0.1818,0.55,0.194
311,1,0,1,11,0,5,1,1,0.18,0.1667,0.51,0.2836
312,1,0,1,12,0,5,1,1,0.2,0.197,0.44,0.2537
313,1,0,1,13,0,5,1,1,0.22,0.197,0.37,0.3881
314,1,0,1,14,0,5,1,1,0.22,0.2121,0.41,0.2836
315,1,0,1,15,0,5,1,1,0.24,0.2424,0.38,0.1642
316,1,0,1,16,0,5,1,1,0.22,0.2424,0.41,0.1045
317,1,0,1,17,0,5,1,1,0.22,0.2273,0.41,0.1642
318,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0.0
319,1,0,1,19,0,5,1,1,0.16,0.197,0.59,0.0896
320,1,0,1,20,0,5,1,1,0.18,0.2424,0.59,0.0
321,1,0,1,21,0,5,1,1,0.16,0.2273,0.69,0.0
322,1,0,1,22,0,5,1,2,0.16,0.2273,0.69,0.0
323,1,0,1,23,0,5,1,2,0.18,0.2424,0.55,0.0
324,1,0,1,0,0,6,0,1,0.18,0.2424,0.55,0.0
325,1,0,1,1,0,6,0,2,0.16,0.197,0.59,0.0896
326,1,0,1,2,0,6,0,2,0.16,0.197,0.59,0.0896
327,1,0,1,3,0,6,0,2,0.16,0.2273,0.59,0.0
328,1,0,1,4,0,6,0,2,0.16,0.2273,0.59,0.0
329,1,0,1,5,0,6,0,1,0.16,0.2273,0.59,0.0
330,1,0,1,6,0,6,0,1,0.14,0.1667,0.63,0.1045
331,1,0,1,7,0,6,0,1,0.14,0.2121,0.63,0.0
332,1,0,1,8,0,6,0,1,0.14,0.1515,0.63,0.1343
333,1,0,1,9,0,6,0,1,0.16,0.1818,0.64,0.1343
334,1,0,1,10,0,6,0,1,0.18,0.197,0.59,0.1642
335,1,0,1,11,0,6,0,1,0.2,0.197,0.55,0.2239
336,1,0,1,12,0,6,0,1,0.24,0.2273,0.48,0.2239
337,1,0,1,13,0,6,0,1,0.28,0.2576,0.38,0.2985
338,1,0,1,14,0,6,0,1,0.3,0.2879,0.39,0.2836
339,1,0,1,15,0,6,0,2,0.32,0.3182,0.36,0.194
340,1,0,1,16,0,6,0,2,0.34,0.3333,0.34,0.194
341,1,0,1,17,0,6,0,2,0.32,0.303,0.36,0.2836
342,1,0,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537
343,1,0,1,19,0,6,0,2,0.32,0.303,0.39,0.2537
344,1,0,1,20,0,6,0,2,0.32,0.303,0.39,0.2537
345,1,0,1,21,0,6,0,2,0.32,0.303,0.39,0.2239
346,1,0,1,22,0,6,0,2,0.3,0.3182,0.42,0.1045
347,1,0,1,23,0,6,0,1,0.3,0.2879,0.45,0.2836
348,1,0,1,0,0,0,0,1,0.26,0.303,0.56,0.0
349,1,0,1,1,0,0,0,1,0.26,0.2727,0.56,0.1343
350,1,0,1,2,0,0,0,1,0.26,0.2879,0.56,0.0896
351,1,0,1,3,0,0,0,1,0.22,0.2727,0.69,0.0
352,1,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642
353,1,0,1,5,0,0,0,2,0.26,0.2576,0.56,0.1642
354,1,0,1,6,0,0,0,2,0.26,0.2576,0.56,0.1642
355,1,0,1,7,0,0,0,2,0.24,0.2121,0.56,0.2985
356,1,0,1,8,0,0,0,1,0.22,0.2121,0.55,0.2836
357,1,0,1,9,0,0,0,1,0.22,0.2121,0.51,0.2537
358,1,0,1,10,0,0,0,1,0.22,0.2121,0.51,0.2836
359,1,0,1,11,0,0,0,1,0.24,0.2273,0.44,0.2537
360,1,0,1,12,0,0,0,1,0.24,0.2121,0.41,0.2836
361,1,0,1,13,0,0,0,1,0.26,0.2273,0.35,0.2985
362,1,0,1,14,0,0,0,1,0.28,0.2727,0.36,0.2537
363,1,0,1,15,0,0,0,1,0.26,0.2424,0.38,0.2537
364,1,0,1,16,0,0,0,1,0.24,0.2273,0.38,0.2239
365,1,0,1,17,0,0,0,1,0.22,0.2121,0.37,0.2537
366,1,0,1,18,0,0,0,1,0.2,0.2121,0.4,0.1642
367,1,0,1,19,0,0,0,1,0.18,0.197,0.47,0.1343
368,1,0,1,20,0,0,0,1,0.18,0.197,0.47,0.1642
369,1,0,1,21,0,0,0,1,0.18,0.197,0.51,0.1642
370,1,0,1,22,0,0,0,2,0.2,0.2121,0.49,0.1343
371,1,0,1,23,0,0,0,2,0.2,0.2273,0.4,0.1045
372,1,0,1,0,1,1,0,2,0.2,0.197,0.47,0.2239
373,1,0,1,1,1,1,0,2,0.2,0.197,0.44,0.194
374,1,0,1,2,1,1,0,2,0.18,0.1667,0.43,0.2537
375,1,0,1,3,1,1,0,2,0.18,0.1818,0.43,0.194
376,1,0,1,4,1,1,0,2,0.18,0.197,0.43,0.1343
377,1,0,1,5,1,1,0,2,0.18,0.197,0.43,0.1642
378,1,0,1,6,1,1,0,2,0.18,0.1818,0.43,0.194
379,1,0,1,7,1,1,0,2,0.16,0.1818,0.5,0.1343
380,1,0,1,8,1,1,0,2,0.16,0.1515,0.47,0.2239
381,1,0,1,9,1,1,0,2,0.16,0.1515,0.47,0.2239
382,1,0,1,10,1,1,0,2,0.16,0.1515,0.5,0.2537
383,1,0,1,11,1,1,0,2,0.16,0.1515,0.55,0.194
384,1,0,1,12,1,1,0,2,0.18,0.197,0.47,0.1343
385,1,0,1,13,1,1,0,2,0.18,0.197,0.47,0.1343
386,1,0,1,14,1,1,0,2,0.18,0.2121,0.43,0.1045
387,1,0,1,15,1,1,0,2,0.2,0.2121,0.47,0.1642
388,1,0,1,16,1,1,0,2,0.2,0.2121,0.47,0.1642
389,1,0,1,17,1,1,0,1,0.2,0.197,0.51,0.194
