id,buying,maint,doors,persons,lug_boot,safety
153,very high,high,3,more,small,low
154,very high,high,3,more,small,med
155,very high,high,3,more,small,high
156,very high,high,3,more,med,low
157,very high,high,3,more,med,med
158,very high,high,3,more,med,high
159,very high,high,3,more,big,low
160,very high,high,3,more,big,med
161,very high,high,3,more,big,high
162,very high,high,4,2,small,low
163,very high,high,4,2,small,med
164,very high,high,4,2,small,high
165,very high,high,4,2,med,low
166,very high,high,4,2,med,med
167,very high,high,4,2,med,high
168,very high,high,4,2,big,low
169,very high,high,4,2,big,med
170,very high,high,4,2,big,high
171,very high,high,4,4,small,low
172,very high,high,4,4,small,med
173,very high,high,4,4,small,high
174,very high,high,4,4,med,low
175,very high,high,4,4,med,med
176,very high,high,4,4,med,high
177,very high,high,4,4,big,low
178,very high,high,4,4,big,med
179,very high,high,4,4,big,high
180,very high,high,4,more,small,low
181,very high,high,4,more,small,med
182,very high,high,4,more,small,high
183,very high,high,4,more,med,low
184,very high,high,4,more,med,med
185,very high,high,4,more,med,high
186,very high,high,4,more,big,low
187,very high,high,4,more,big,med
188,very high,high,4,more,big,high
189,very high,high,5more,2,small,low
190,very high,high,5more,2,small,med
191,very high,high,5more,2,small,high
192,very high,high,5more,2,med,low
193,very high,high,5more,2,med,med
194,very high,high,5more,2,med,high
195,very high,high,5more,2,big,low
196,very high,high,5more,2,big,med
197,very high,high,5more,2,big,high
198,very high,high,5more,4,small,low
199,very high,high,5more,4,small,med
200,very high,high,5more,4,small,high
201,very high,high,5more,4,med,low
202,very high,high,5more,4,med,med
203,very high,high,5more,4,med,high
204,very high,high,5more,4,big,low
205,very high,high,5more,4,big,med
206,very high,high,5more,4,big,high
207,very high,high,5more,more,small,low
208,very high,high,5more,more,small,med
209,very high,high,5more,more,small,high
210,very high,high,5more,more,med,low
211,very high,high,5more,more,med,med
212,very high,high,5more,more,med,high
213,very high,high,5more,more,big,low
214,very high,high,5more,more,big,med
215,very high,high,5more,more,big,high
216,very high,medium,2,2,small,low
217,very high,medium,2,2,small,med
218,very high,medium,2,2,small,high
219,very high,medium,2,2,med,low
220,very high,medium,2,2,med,med
221,very high,medium,2,2,med,high
222,very high,medium,2,2,big,low
223,very high,medium,2,2,big,med
224,very high,medium,2,2,big,high
225,very high,medium,2,4,small,low
226,very high,medium,2,4,small,med
227,very high,medium,2,4,small,high
228,very high,medium,2,4,med,low
229,very high,medium,2,4,med,med
230,very high,medium,2,4,med,high
231,very high,medium,2,4,big,low
232,very high,medium,2,4,big,med
233,very high,medium,2,4,big,high
234,very high,medium,2,more,small,low
235,very high,medium,2,more,small,med
236,very high,medium,2,more,small,high
237,very high,medium,2,more,med,low
238,very high,medium,2,more,med,med
239,very high,medium,2,more,med,high
240,very high,medium,2,more,big,low
241,very high,medium,2,more,big,med
242,very high,medium,2,more,big,high
243,very high,medium,3,2,small,low
244,very high,medium,3,2,small,med
245,very high,medium,3,2,small,high
246,very high,medium,3,2,med,low
247,very high,medium,3,2,med,med
248,very high,medium,3,2,med,high
249,very high,medium,3,2,big,low
250,very high,medium,3,2,big,med
251,very high,medium,3,2,big,high
252,very high,medium,3,4,small,low
253,very high,medium,3,4,small,med
254,very high,medium,3,4,small,high
255,very high,medium,3,4,med,low
256,very high,medium,3,4,med,med
257,very high,medium,3,4,med,high
258,very high,medium,3,4,big,low
259,very high,medium,3,4,big,med
260,very high,medium,3,4,big,high
261,very high,medium,3,more,small,low
262,very high,medium,3,more,small,med
263,very high,medium,3,more,small,high
264,very high,medium,3,more,med,low
265,very high,medium,3,more,med,med
266,very high,medium,3,more,med,high
267,very high,medium,3,more,big,low
268,very high,medium,3,more,big,med
269,very high,medium,3,more,big,high
270,very high,medium,4,2,small,low
271,very high,medium,4,2,small,med
272,very high,medium,4,2,small,high
273,very high,medium,4,2,med,low
274,very high,medium,4,2,med,med
275,very high,medium,4,2,med,high
276,very high,medium,4,2,big,low
277,very high,medium,4,2,big,med
278,very high,medium,4,2,big,high
279,very high,medium,4,4,small,low
280,very high,medium,4,4,small,med
281,very high,medium,4,4,small,high
282,very high,medium,4,4,med,low
283,very high,medium,4,4,med,med
284,very high,medium,4,4,med,high
285,very high,medium,4,4,big,low
286,very high,medium,4,4,big,med
287,very high,medium,4,4,big,high
288,very high,medium,4,more,small,low
289,very high,medium,4,more,small,med
290,very high,medium,4,more,small,high
291,very high,medium,4,more,med,low
292,very high,medium,4,more,med,med
293,very high,medium,4,more,med,high
294,very high,medium,4,more,big,low
295,very high,medium,4,more,big,med
296,very high,medium,4,more,big,high
297,very high,medium,5more,2,small,low
298,very high,medium,5more,2,small,med
299,very high,medium,5more,2,small,high
300,very high,medium,5more,2,med,low
301,very high,medium,5more,2,med,med
302,very high,medium,5more,2,med,high
303,very high,medium,5more,2,big,low
304,very high,medium,5more,2,big,med
305,very high,medium,5more,2,big,high
306,very high,medium,5more,4,small,low
307,very high,medium,5more,4,small,med
308,very high,medium,5more,4,small,high
309,very high,medium,5more,4,med,low
310,very high,medium,5more,4,med,med
311,very high,medium,5more,4,med,high
312,very high,medium,5more,4,big,low
313,very high,medium,5more,4,big,med
314,very high,medium,5more,4,big,high
315,very high,medium,5more,more,small,low
316,very high,medium,5more,more,small,med
317,very high,medium,5more,more,small,high
318,very high,medium,5more,more,med,low
319,very high,medium,5more,more,med,med
320,very high,medium,5more,more,med,high
321,very high,medium,5more,more,big,low
322,very high,medium,5more,more,big,med
323,very high,medium,5more,more,big,high
324,very high,low,2,2,small,low
325,very high,low,2,2,small,med
326,very high,low,2,2,small,high
327,very high,low,2,2,med,low
328,very high,low,2,2,med,med
329,very high,low,2,2,med,high
330,very high,low,2,2,big,low
331,very high,low,2,2,big,med
332,very high,low,2,2,big,high
333,very high,low,2,4,small,low
334,very high,low,2,4,small,med
335,very high,low,2,4,small,high
336,very high,low,2,4,med,low
337,very high,low,2,4,med,med
338,very high,low,2,4,med,high
339,very high,low,2,4,big,low
340,very high,low,2,4,big,med
341,very high,low,2,4,big,high
342,very high,low,2,more,small,low
343,very high,low,2,more,small,med
344,very high,low,2,more,small,high
345,very high,low,2,more,med,low
346,very high,low,2,more,med,med
347,very high,low,2,more,med,high
348,very high,low,2,more,big,low
349,very high,low,2,more,big,med
350,very high,low,2,more,big,high
351,very high,low,3,2,small,low
352,very high,low,3,2,small,med
353,very high,low,3,2,small,high
354,very high,low,3,2,med,low
355,very high,low,3,2,med,med
356,very high,low,3,2,med,high
357,very high,low,3,2,big,low
358,very high,low,3,2,big,med
359,very high,low,3,2,big,high
360,very high,low,3,4,small,low
361,very high,low,3,4,small,med
362,very high,low,3,4,small,high
363,very high,low,3,4,med,low
364,very high,low,3,4,med,med
365,very high,low,3,4,med,high
366,very high,low,3,4,big,low
367,very high,low,3,4,big,med
368,very high,low,3,4,big,high
369,very high,low,3,more,small,low
370,very high,low,3,more,small,med
371,very high,low,3,more,small,high
372,very high,low,3,more,med,low
373,very high,low,3,more,med,med
374,very high,low,3,more,med,high
375,very high,low,3,more,big,low
376,very high,low,3,more,big,med
377,very high,low,3,more,big,high
378,very high,low,4,2,small,low
379,very high,low,4,2,small,med
380,very high,low,4,2,small,high
381,very high,low,4,2,med,low
382,very high,low,4,2,med,med
383,very high,low,4,2,med,high
384,very high,low,4,2,big,low
385,very high,low,4,2,big,med
386,very high,low,4,2,big,high
387,very high,low,4,4,small,low
388,very high,low,4,4,small,med
389,very high,low,4,4,small,high
390,very high,low,4,4,med,low
391,very high,low,4,4,med,med
392,very high,low,4,4,med,high
393,very high,low,4,4,big,low
394,very high,low,4,4,big,med
395,very high,low,4,4,big,high
396,very high,low,4,more,small,low
397,very high,low,4,more,small,med
398,very high,low,4,more,small,high
399,very high,low,4,more,med,low
400,very high,low,4,more,med,med
401,very high,low,4,more,med,high
402,very high,low,4,more,big,low
403,very high,low,4,more,big,med
404,very high,low,4,more,big,high
405,very high,low,5more,2,small,low
406,very high,low,5more,2,small,med
407,very high,low,5more,2,small,high
408,very high,low,5more,2,med,low
409,very high,low,5more,2,med,med
410,very high,low,5more,2,med,high
411,very high,low,5more,2,big,low
412,very high,low,5more,2,big,med
413,very high,low,5more,2,big,high
414,very high,low,5more,4,small,low
415,very high,low,5more,4,small,med
416,very high,low,5more,4,small,high
417,very high,low,5more,4,med,low
418,very high,low,5more,4,med,med
419,very high,low,5more,4,med,high
420,very high,low,5more,4,big,low
421,very high,low,5more,4,big,med
422,very high,low,5more,4,big,high
423,very high,low,5more,more,small,low
424,very high,low,5more,more,small,med
425,very high,low,5more,more,small,high
426,very high,low,5more,more,med,low
427,very high,low,5more,more,med,med
428,very high,low,5more,more,med,high
429,very high,low,5more,more,big,low
430,very high,low,5more,more,big,med
431,very high,low,5more,more,big,high
432,high,very high,2,2,small,low
433,high,very high,2,2,small,med
434,high,very high,2,2,small,high
435,high,very high,2,2,med,low
436,high,very high,2,2,med,med
437,high,very high,2,2,med,high
438,high,very high,2,2,big,low
439,high,very high,2,2,big,med
440,high,very high,2,2,big,high
441,high,very high,2,4,small,low
442,high,very high,2,4,small,med
443,high,very high,2,4,small,high
444,high,very high,2,4,med,low
445,high,very high,2,4,med,med
446,high,very high,2,4,med,high
447,high,very high,2,4,big,low
448,high,very high,2,4,big,med
449,high,very high,2,4,big,high
450,high,very high,2,more,small,low
451,high,very high,2,more,small,med
452,high,very high,2,more,small,high
453,high,very high,2,more,med,low
454,high,very high,2,more,med,med
455,high,very high,2,more,med,high
456,high,very high,2,more,big,low
457,high,very high,2,more,big,med
458,high,very high,2,more,big,high
459,high,very high,3,2,small,low
460,high,very high,3,2,small,med
461,high,very high,3,2,small,high
462,high,very high,3,2,med,low
463,high,very high,3,2,med,med
464,high,very high,3,2,med,high
465,high,very high,3,2,big,low
466,high,very high,3,2,big,med
467,high,very high,3,2,big,high
468,high,very high,3,4,small,low
469,high,very high,3,4,small,med
470,high,very high,3,4,small,high
471,high,very high,3,4,med,low
472,high,very high,3,4,med,med
473,high,very high,3,4,med,high
474,high,very high,3,4,big,low
475,high,very high,3,4,big,med
476,high,very high,3,4,big,high
477,high,very high,3,more,small,low
478,high,very high,3,more,small,med
479,high,very high,3,more,small,high
480,high,very high,3,more,med,low
481,high,very high,3,more,med,med
482,high,very high,3,more,med,high
483,high,very high,3,more,big,low
484,high,very high,3,more,big,med
485,high,very high,3,more,big,high
486,high,very high,4,2,small,low
487,high,very high,4,2,small,med
488,high,very high,4,2,small,high
489,high,very high,4,2,med,low
490,high,very high,4,2,med,med
491,high,very high,4,2,med,high
492,high,very high,4,2,big,low
493,high,very high,4,2,big,med
494,high,very high,4,2,big,high
495,high,very high,4,4,small,low
496,high,very high,4,4,small,med
497,high,very high,4,4,small,high
498,high,very high,4,4,med,low
499,high,very high,4,4,med,med
500,high,very high,4,4,med,high
501,high,very high,4,4,big,low
502,high,very high,4,4,big,med
503,high,very high,4,4,big,high
504,high,very high,4,more,small,low
505,high,very high,4,more,small,med
506,high,very high,4,more,small,high
507,high,very high,4,more,med,low
508,high,very high,4,more,med,med
509,high,very high,4,more,med,high
510,high,very high,4,more,big,low
511,high,very high,4,more,big,med
512,high,very high,4,more,big,high
513,high,very high,5more,2,small,low
514,high,very high,5more,2,small,med
515,high,very high,5more,2,small,high
516,high,very high,5more,2,med,low
517,high,very high,5more,2,med,med
518,high,very high,5more,2,med,high
519,high,very high,5more,2,big,low
520,high,very high,5more,2,big,med
521,high,very high,5more,2,big,high
522,high,very high,5more,4,small,low
523,high,very high,5more,4,small,med
524,high,very high,5more,4,small,high
525,high,very high,5more,4,med,low
526,high,very high,5more,4,med,med
527,high,very high,5more,4,med,high
528,high,very high,5more,4,big,low
529,high,very high,5more,4,big,med
530,high,very high,5more,4,big,high
531,high,very high,5more,more,small,low
532,high,very high,5more,more,small,med
533,high,very high,5more,more,small,high
534,high,very high,5more,more,med,low
535,high,very high,5more,more,med,med
536,high,very high,5more,more,med,high
537,high,very high,5more,more,big,low
538,high,very high,5more,more,big,med
539,high,very high,5more,more,big,high
540,high,high,2,2,small,low
541,high,high,2,2,small,med
542,high,high,2,2,small,high
543,high,high,2,2,med,low
544,high,high,2,2,med,med
545,high,high,2,2,med,high
546,high,high,2,2,big,low
547,high,high,2,2,big,med
548,high,high,2,2,big,high
549,high,high,2,4,small,low
550,high,high,2,4,small,med
551,high,high,2,4,small,high
552,high,high,2,4,med,low
553,high,high,2,4,med,med
554,high,high,2,4,med,high
555,high,high,2,4,big,low
556,high,high,2,4,big,med
557,high,high,2,4,big,high
558,high,high,2,more,small,low
559,high,high,2,more,small,med
560,high,high,2,more,small,high
561,high,high,2,more,med,low
562,high,high,2,more,med,med
563,high,high,2,more,med,high
564,high,high,2,more,big,low
565,high,high,2,more,big,med
566,high,high,2,more,big,high
567,high,high,3,2,small,low
568,high,high,3,2,small,med
569,high,high,3,2,small,high
570,high,high,3,2,med,low
571,high,high,3,2,med,med
572,high,high,3,2,med,high
573,high,high,3,2,big,low
574,high,high,3,2,big,med
575,high,high,3,2,big,high
576,high,high,3,4,small,low
577,high,high,3,4,small,med
578,high,high,3,4,small,high
579,high,high,3,4,med,low
580,high,high,3,4,med,med
581,high,high,3,4,med,high
582,high,high,3,4,big,low
583,high,high,3,4,big,med
584,high,high,3,4,big,high
585,high,high,3,more,small,low
586,high,high,3,more,small,med
587,high,high,3,more,small,high
588,high,high,3,more,med,low
589,high,high,3,more,med,med
590,high,high,3,more,med,high
591,high,high,3,more,big,low
592,high,high,3,more,big,med
593,high,high,3,more,big,high
594,high,high,4,2,small,low
595,high,high,4,2,small,med
596,high,high,4,2,small,high
597,high,high,4,2,med,low
598,high,high,4,2,med,med
599,high,high,4,2,med,high
600,high,high,4,2,big,low
601,high,high,4,2,big,med
602,high,high,4,2,big,high
603,high,high,4,4,small,low
604,high,high,4,4,small,med
605,high,high,4,4,small,high
606,high,high,4,4,med,low
607,high,high,4,4,med,med
608,high,high,4,4,med,high
609,high,high,4,4,big,low
610,high,high,4,4,big,med
611,high,high,4,4,big,high
612,high,high,4,more,small,low
613,high,high,4,more,small,med
614,high,high,4,more,small,high
615,high,high,4,more,med,low
616,high,high,4,more,med,med
617,high,high,4,more,med,high
618,high,high,4,more,big,low
619,high,high,4,more,big,med
620,high,high,4,more,big,high
621,high,high,5more,2,small,low
622,high,high,5more,2,small,med
623,high,high,5more,2,small,high
624,high,high,5more,2,med,low
625,high,high,5more,2,med,med
626,high,high,5more,2,med,high
627,high,high,5more,2,big,low
628,high,high,5more,2,big,med
629,high,high,5more,2,big,high
630,high,high,5more,4,small,low
631,high,high,5more,4,small,med
632,high,high,5more,4,small,high
633,high,high,5more,4,med,low
634,high,high,5more,4,med,med
635,high,high,5more,4,med,high
636,high,high,5more,4,big,low
637,high,high,5more,4,big,med
638,high,high,5more,4,big,high
639,high,high,5more,more,small,low
640,high,high,5more,more,small,med
641,high,high,5more,more,small,high
642,high,high,5more,more,med,low
643,high,high,5more,more,med,med
644,high,high,5more,more,med,high
645,high,high,5more,more,big,low
646,high,high,5more,more,big,med
647,high,high,5more,more,big,high
648,high,medium,2,2,small,low
649,high,medium,2,2,small,med
650,high,medium,2,2,small,high
651,high,medium,2,2,med,low
652,high,medium,2,2,med,med
653,high,medium,2,2,med,high
654,high,medium,2,2,big,low
655,high,medium,2,2,big,med
656,high,medium,2,2,big,high
657,high,medium,2,4,small,low
658,high,medium,2,4,small,med
659,high,medium,2,4,small,high
660,high,medium,2,4,med,low
661,high,medium,2,4,med,med
662,high,medium,2,4,med,high
663,high,medium,2,4,big,low
664,high,medium,2,4,big,med
665,high,medium,2,4,big,high
666,high,medium,2,more,small,low
667,high,medium,2,more,small,med
668,high,medium,2,more,small,high
669,high,medium,2,more,med,low
670,high,medium,2,more,med,med
671,high,medium,2,more,med,high
672,high,medium,2,more,big,low
673,high,medium,2,more,big,med
674,high,medium,2,more,big,high
675,high,medium,3,2,small,low
676,high,medium,3,2,small,med
677,high,medium,3,2,small,high
678,high,medium,3,2,med,low
679,high,medium,3,2,med,med
680,high,medium,3,2,med,high
681,high,medium,3,2,big,low
682,high,medium,3,2,big,med
683,high,medium,3,2,big,high
684,high,medium,3,4,small,low
685,high,medium,3,4,small,med
686,high,medium,3,4,small,high
687,high,medium,3,4,med,low
688,high,medium,3,4,med,med
689,high,medium,3,4,med,high
690,high,medium,3,4,big,low
691,high,medium,3,4,big,med
692,high,medium,3,4,big,high
693,high,medium,3,more,small,low
694,high,medium,3,more,small,med
695,high,medium,3,more,small,high
696,high,medium,3,more,med,low
697,high,medium,3,more,med,med
698,high,medium,3,more,med,high
699,high,medium,3,more,big,low
700,high,medium,3,more,big,med
701,high,medium,3,more,big,high
702,high,medium,4,2,small,low
703,high,medium,4,2,small,med
704,high,medium,4,2,small,high
705,high,medium,4,2,med,low
706,high,medium,4,2,med,med
707,high,medium,4,2,med,high
708,high,medium,4,2,big,low
709,high,medium,4,2,big,med
710,high,medium,4,2,big,high
711,high,medium,4,4,small,low
712,high,medium,4,4,small,med
713,high,medium,4,4,small,high
714,high,medium,4,4,med,low
715,high,medium,4,4,med,med
716,high,medium,4,4,med,high
717,high,medium,4,4,big,low
718,high,medium,4,4,big,med
719,high,medium,4,4,big,high
720,high,medium,4,more,small,low
721,high,medium,4,more,small,med
722,high,medium,4,more,small,high
723,high,medium,4,more,med,low
724,high,medium,4,more,med,med
725,high,medium,4,more,med,high
726,high,medium,4,more,big,low
727,high,medium,4,more,big,med
728,high,medium,4,more,big,high
729,high,medium,5more,2,small,low
730,high,medium,5more,2,small,med
731,high,medium,5more,2,small,high
732,high,medium,5more,2,med,low
733,high,medium,5more,2,med,med
734,high,medium,5more,2,med,high
735,high,medium,5more,2,big,low
736,high,medium,5more,2,big,med
737,high,medium,5more,2,big,high
738,high,medium,5more,4,small,low
739,high,medium,5more,4,small,med
740,high,medium,5more,4,small,high
741,high,medium,5more,4,med,low
742,high,medium,5more,4,med,med
743,high,medium,5more,4,med,high
744,high,medium,5more,4,big,low
745,high,medium,5more,4,big,med
746,high,medium,5more,4,big,high
747,high,medium,5more,more,small,low
748,high,medium,5more,more,small,med
749,high,medium,5more,more,small,high
750,high,medium,5more,more,med,low
751,high,medium,5more,more,med,med
752,high,medium,5more,more,med,high
753,high,medium,5more,more,big,low
754,high,medium,5more,more,big,med
755,high,medium,5more,more,big,high
756,high,low,2,2,small,low
757,high,low,2,2,small,med
758,high,low,2,2,small,high
759,high,low,2,2,med,low
760,high,low,2,2,med,med
761,high,low,2,2,med,high
762,high,low,2,2,big,low
763,high,low,2,2,big,med
764,high,low,2,2,big,high
765,high,low,2,4,small,low
766,high,low,2,4,small,med
767,high,low,2,4,small,high
768,high,low,2,4,med,low
769,high,low,2,4,med,med
770,high,low,2,4,med,high
771,high,low,2,4,big,low
772,high,low,2,4,big,med
773,high,low,2,4,big,high
774,high,low,2,more,small,low
775,high,low,2,more,small,med
776,high,low,2,more,small,high
777,high,low,2,more,med,low
778,high,low,2,more,med,med
779,high,low,2,more,med,high
780,high,low,2,more,big,low
781,high,low,2,more,big,med
782,high,low,2,more,big,high
783,high,low,3,2,small,low
784,high,low,3,2,small,med
785,high,low,3,2,small,high
786,high,low,3,2,med,low
787,high,low,3,2,med,med
788,high,low,3,2,med,high
789,high,low,3,2,big,low
790,high,low,3,2,big,med
791,high,low,3,2,big,high
792,high,low,3,4,small,low
793,high,low,3,4,small,med
794,high,low,3,4,small,high
795,high,low,3,4,med,low
796,high,low,3,4,med,med
797,high,low,3,4,med,high
798,high,low,3,4,big,low
799,high,low,3,4,big,med
800,high,low,3,4,big,high
801,high,low,3,more,small,low
802,high,low,3,more,small,med
803,high,low,3,more,small,high
804,high,low,3,more,med,low
805,high,low,3,more,med,med
806,high,low,3,more,med,high
807,high,low,3,more,big,low
808,high,low,3,more,big,med
809,high,low,3,more,big,high
810,high,low,4,2,small,low
811,high,low,4,2,small,med
812,high,low,4,2,small,high
813,high,low,4,2,med,low
814,high,low,4,2,med,med
815,high,low,4,2,med,high
816,high,low,4,2,big,low
817,high,low,4,2,big,med
818,high,low,4,2,big,high
819,high,low,4,4,small,low
820,high,low,4,4,small,med
821,high,low,4,4,small,high
822,high,low,4,4,med,low
823,high,low,4,4,med,med
824,high,low,4,4,med,high
825,high,low,4,4,big,low
826,high,low,4,4,big,med
827,high,low,4,4,big,high
828,high,low,4,more,small,low
829,high,low,4,more,small,med
830,high,low,4,more,small,high
831,high,low,4,more,med,low
832,high,low,4,more,med,med
833,high,low,4,more,med,high
834,high,low,4,more,big,low
835,high,low,4,more,big,med
836,high,low,4,more,big,high
837,high,low,5more,2,small,low
838,high,low,5more,2,small,med
839,high,low,5more,2,small,high
840,high,low,5more,2,med,low
841,high,low,5more,2,med,med
842,high,low,5more,2,med,high
843,high,low,5more,2,big,low
844,high,low,5more,2,big,med
845,high,low,5more,2,big,high
846,high,low,5more,4,small,low
847,high,low,5more,4,small,med
848,high,low,5more,4,small,high
849,high,low,5more,4,med,low
850,high,low,5more,4,med,med
851,high,low,5more,4,med,high
852,high,low,5more,4,big,low
853,high,low,5more,4,big,med
854,high,low,5more,4,big,high
855,high,low,5more,more,small,low
856,high,low,5more,more,small,med
857,high,low,5more,more,small,high
858,high,low,5more,more,med,low
859,high,low,5more,more,med,med
860,high,low,5more,more,med,high
861,high,low,5more,more,big,low
862,high,low,5more,more,big,med
863,high,low,5more,more,big,high
864,medium,very high,2,2,small,low
865,medium,very high,2,2,small,med
866,medium,very high,2,2,small,high
867,medium,very high,2,2,med,low
868,medium,very high,2,2,med,med
869,medium,very high,2,2,med,high
870,medium,very high,2,2,big,low
871,medium,very high,2,2,big,med
872,medium,very high,2,2,big,high
873,medium,very high,2,4,small,low
874,medium,very high,2,4,small,med
875,medium,very high,2,4,small,high
876,medium,very high,2,4,med,low
877,medium,very high,2,4,med,med
878,medium,very high,2,4,med,high
879,medium,very high,2,4,big,low
880,medium,very high,2,4,big,med
881,medium,very high,2,4,big,high
882,medium,very high,2,more,small,low
883,medium,very high,2,more,small,med
884,medium,very high,2,more,small,high
885,medium,very high,2,more,med,low
886,medium,very high,2,more,med,med
887,medium,very high,2,more,med,high
888,medium,very high,2,more,big,low
889,medium,very high,2,more,big,med
890,medium,very high,2,more,big,high
891,medium,very high,3,2,small,low
892,medium,very high,3,2,small,med
893,medium,very high,3,2,small,high
894,medium,very high,3,2,med,low
895,medium,very high,3,2,med,med
896,medium,very high,3,2,med,high
897,medium,very high,3,2,big,low
898,medium,very high,3,2,big,med
899,medium,very high,3,2,big,high
900,medium,very high,3,4,small,low
901,medium,very high,3,4,small,med
902,medium,very high,3,4,small,high
903,medium,very high,3,4,med,low
904,medium,very high,3,4,med,med
905,medium,very high,3,4,med,high
906,medium,very high,3,4,big,low
907,medium,very high,3,4,big,med
908,medium,very high,3,4,big,high
909,medium,very high,3,more,small,low
910,medium,very high,3,more,small,med
911,medium,very high,3,more,small,high
