id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
23,25.0,services,married,secondary,no,50.0,yes,no,unknown,5.0,may,342.0,1.0,-1.0,0.0,unknown
24,40.0,retired,married,primary,no,0.0,yes,yes,unknown,5.0,may,181.0,1.0,-1.0,0.0,unknown
25,44.0,admin.,married,secondary,no,-372.0,yes,no,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown
26,39.0,management,single,tertiary,no,255.0,yes,no,unknown,5.0,may,296.0,1.0,-1.0,0.0,unknown
27,52.0,entrepreneur,married,secondary,no,113.0,yes,yes,unknown,5.0,may,127.0,1.0,-1.0,0.0,unknown
28,46.0,management,single,secondary,no,-246.0,yes,no,unknown,5.0,may,255.0,2.0,-1.0,0.0,unknown
29,36.0,technician,single,secondary,no,265.0,yes,yes,unknown,5.0,may,348.0,1.0,-1.0,0.0,unknown
30,57.0,technician,married,secondary,no,839.0,no,yes,unknown,5.0,may,225.0,1.0,-1.0,0.0,unknown
31,49.0,management,married,tertiary,no,378.0,yes,no,unknown,5.0,may,230.0,1.0,-1.0,0.0,unknown
32,60.0,admin.,married,secondary,no,39.0,yes,yes,unknown,5.0,may,208.0,1.0,-1.0,0.0,unknown
33,59.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,226.0,1.0,-1.0,0.0,unknown
34,51.0,management,married,tertiary,no,10635.0,yes,no,unknown,5.0,may,336.0,1.0,-1.0,0.0,unknown
35,57.0,technician,divorced,secondary,no,63.0,yes,no,unknown,5.0,may,242.0,1.0,-1.0,0.0,unknown
36,25.0,blue-collar,married,secondary,no,-7.0,yes,no,unknown,5.0,may,365.0,1.0,-1.0,0.0,unknown
37,53.0,technician,married,secondary,no,-3.0,no,no,unknown,5.0,may,1666.0,1.0,-1.0,0.0,unknown
38,36.0,admin.,divorced,secondary,no,506.0,yes,no,unknown,5.0,may,577.0,1.0,-1.0,0.0,unknown
39,37.0,admin.,single,secondary,no,0.0,yes,no,unknown,5.0,may,137.0,1.0,-1.0,0.0,unknown
40,44.0,services,divorced,secondary,no,2586.0,yes,no,unknown,5.0,may,160.0,1.0,-1.0,0.0,unknown
41,50.0,management,married,secondary,no,49.0,yes,no,unknown,5.0,may,180.0,2.0,-1.0,0.0,unknown
42,60.0,blue-collar,married,unknown,no,104.0,yes,no,unknown,5.0,may,22.0,1.0,-1.0,0.0,unknown
43,54.0,retired,married,secondary,no,529.0,yes,no,unknown,5.0,may,1492.0,1.0,-1.0,0.0,unknown
44,58.0,retired,married,unknown,no,96.0,yes,no,unknown,5.0,may,616.0,1.0,-1.0,0.0,unknown
45,36.0,admin.,single,primary,no,-171.0,yes,no,unknown,5.0,may,242.0,1.0,-1.0,0.0,unknown
46,58.0,self-employed,married,tertiary,no,-364.0,yes,no,unknown,5.0,may,355.0,1.0,-1.0,0.0,unknown
47,44.0,technician,married,secondary,no,0.0,yes,no,unknown,5.0,may,225.0,2.0,-1.0,0.0,unknown
48,55.0,technician,divorced,secondary,no,0.0,no,no,unknown,5.0,may,160.0,1.0,-1.0,0.0,unknown
49,29.0,management,single,tertiary,no,0.0,yes,no,unknown,5.0,may,363.0,1.0,-1.0,0.0,unknown
50,54.0,blue-collar,married,secondary,no,1291.0,yes,no,unknown,5.0,may,266.0,1.0,-1.0,0.0,unknown
51,48.0,management,divorced,tertiary,no,-244.0,yes,no,unknown,5.0,may,253.0,1.0,-1.0,0.0,unknown
52,32.0,management,married,tertiary,no,0.0,yes,no,unknown,5.0,may,179.0,1.0,-1.0,0.0,unknown
53,42.0,admin.,single,secondary,no,-76.0,yes,no,unknown,5.0,may,787.0,1.0,-1.0,0.0,unknown
54,24.0,technician,single,secondary,no,-103.0,yes,yes,unknown,5.0,may,145.0,1.0,-1.0,0.0,unknown
55,38.0,entrepreneur,single,tertiary,no,243.0,no,yes,unknown,5.0,may,174.0,1.0,-1.0,0.0,unknown
56,38.0,management,single,tertiary,no,424.0,yes,no,unknown,5.0,may,104.0,1.0,-1.0,0.0,unknown
57,47.0,blue-collar,married,unknown,no,306.0,yes,no,unknown,5.0,may,13.0,1.0,-1.0,0.0,unknown
58,40.0,blue-collar,single,unknown,no,24.0,yes,no,unknown,5.0,may,185.0,1.0,-1.0,0.0,unknown
59,46.0,services,married,primary,no,179.0,yes,no,unknown,5.0,may,1778.0,1.0,-1.0,0.0,unknown
60,32.0,admin.,married,tertiary,no,0.0,yes,no,unknown,5.0,may,138.0,1.0,-1.0,0.0,unknown
61,53.0,technician,divorced,secondary,no,989.0,yes,no,unknown,5.0,may,812.0,1.0,-1.0,0.0,unknown
62,57.0,blue-collar,married,primary,no,249.0,yes,no,unknown,5.0,may,164.0,1.0,-1.0,0.0,unknown
63,33.0,services,married,secondary,no,790.0,yes,no,unknown,5.0,may,391.0,1.0,-1.0,0.0,unknown
64,49.0,blue-collar,married,unknown,no,154.0,yes,no,unknown,5.0,may,357.0,1.0,-1.0,0.0,unknown
65,51.0,management,married,tertiary,no,6530.0,yes,no,unknown,5.0,may,91.0,1.0,-1.0,0.0,unknown
66,60.0,retired,married,tertiary,no,100.0,no,no,unknown,5.0,may,528.0,1.0,-1.0,0.0,unknown
67,59.0,management,divorced,tertiary,no,59.0,yes,no,unknown,5.0,may,273.0,1.0,-1.0,0.0,unknown
68,55.0,technician,married,secondary,no,1205.0,yes,no,unknown,5.0,may,158.0,2.0,-1.0,0.0,unknown
69,35.0,blue-collar,single,secondary,no,12223.0,yes,yes,unknown,5.0,may,177.0,1.0,-1.0,0.0,unknown
70,57.0,blue-collar,married,secondary,no,5935.0,yes,yes,unknown,5.0,may,258.0,1.0,-1.0,0.0,unknown
71,31.0,services,married,secondary,no,25.0,yes,yes,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown
72,54.0,management,married,secondary,no,282.0,yes,yes,unknown,5.0,may,154.0,1.0,-1.0,0.0,unknown
73,55.0,blue-collar,married,primary,no,23.0,yes,no,unknown,5.0,may,291.0,1.0,-1.0,0.0,unknown
74,43.0,technician,married,secondary,no,1937.0,yes,no,unknown,5.0,may,181.0,1.0,-1.0,0.0,unknown
75,53.0,technician,married,secondary,no,384.0,yes,no,unknown,5.0,may,176.0,1.0,-1.0,0.0,unknown
76,44.0,blue-collar,married,secondary,no,582.0,no,yes,unknown,5.0,may,211.0,1.0,-1.0,0.0,unknown
77,55.0,services,divorced,secondary,no,91.0,no,no,unknown,5.0,may,349.0,1.0,-1.0,0.0,unknown
78,49.0,services,divorced,secondary,no,0.0,yes,yes,unknown,5.0,may,272.0,1.0,-1.0,0.0,unknown
79,55.0,services,divorced,secondary,yes,1.0,yes,no,unknown,5.0,may,208.0,1.0,-1.0,0.0,unknown
80,45.0,admin.,single,secondary,no,206.0,yes,no,unknown,5.0,may,193.0,1.0,-1.0,0.0,unknown
81,47.0,services,divorced,secondary,no,164.0,no,no,unknown,5.0,may,212.0,1.0,-1.0,0.0,unknown
82,42.0,technician,single,secondary,no,690.0,yes,no,unknown,5.0,may,20.0,1.0,-1.0,0.0,unknown
83,59.0,admin.,married,secondary,no,2343.0,yes,no,unknown,5.0,may,1042.0,1.0,-1.0,0.0,unknown
84,46.0,self-employed,married,tertiary,no,137.0,yes,yes,unknown,5.0,may,246.0,1.0,-1.0,0.0,unknown
85,51.0,blue-collar,married,primary,no,173.0,yes,no,unknown,5.0,may,529.0,2.0,-1.0,0.0,unknown
86,56.0,admin.,married,secondary,no,45.0,no,no,unknown,5.0,may,1467.0,1.0,-1.0,0.0,unknown
87,41.0,technician,married,secondary,no,1270.0,yes,no,unknown,5.0,may,1389.0,1.0,-1.0,0.0,unknown
88,46.0,management,divorced,secondary,no,16.0,yes,yes,unknown,5.0,may,188.0,2.0,-1.0,0.0,unknown
89,57.0,retired,married,secondary,no,486.0,yes,no,unknown,5.0,may,180.0,2.0,-1.0,0.0,unknown
90,42.0,management,single,secondary,no,50.0,no,no,unknown,5.0,may,48.0,1.0,-1.0,0.0,unknown
91,30.0,technician,married,secondary,no,152.0,yes,yes,unknown,5.0,may,213.0,2.0,-1.0,0.0,unknown
92,60.0,admin.,married,secondary,no,290.0,yes,no,unknown,5.0,may,583.0,1.0,-1.0,0.0,unknown
93,60.0,blue-collar,married,unknown,no,54.0,yes,no,unknown,5.0,may,221.0,1.0,-1.0,0.0,unknown
94,57.0,entrepreneur,divorced,secondary,no,-37.0,no,no,unknown,5.0,may,173.0,1.0,-1.0,0.0,unknown
95,36.0,management,married,tertiary,no,101.0,yes,yes,unknown,5.0,may,426.0,1.0,-1.0,0.0,unknown
96,55.0,blue-collar,married,secondary,no,383.0,no,no,unknown,5.0,may,287.0,1.0,-1.0,0.0,unknown
97,60.0,retired,married,tertiary,no,81.0,yes,no,unknown,5.0,may,101.0,1.0,-1.0,0.0,unknown
98,39.0,technician,married,secondary,no,0.0,yes,no,unknown,5.0,may,203.0,1.0,-1.0,0.0,unknown
99,46.0,management,married,tertiary,no,229.0,yes,no,unknown,5.0,may,197.0,1.0,-1.0,0.0,unknown
100,44.0,blue-collar,married,secondary,no,-674.0,yes,no,unknown,5.0,may,257.0,1.0,-1.0,0.0,unknown
101,53.0,blue-collar,married,primary,no,90.0,no,no,unknown,5.0,may,124.0,1.0,-1.0,0.0,unknown
102,52.0,blue-collar,married,primary,no,128.0,yes,no,unknown,5.0,may,229.0,1.0,-1.0,0.0,unknown
103,59.0,blue-collar,married,primary,no,179.0,yes,no,unknown,5.0,may,55.0,3.0,-1.0,0.0,unknown
104,27.0,technician,single,tertiary,no,0.0,yes,no,unknown,5.0,may,400.0,1.0,-1.0,0.0,unknown
105,44.0,blue-collar,married,secondary,no,54.0,yes,no,unknown,5.0,may,197.0,1.0,-1.0,0.0,unknown
106,47.0,technician,married,tertiary,no,151.0,yes,no,unknown,5.0,may,190.0,1.0,-1.0,0.0,unknown
107,34.0,admin.,married,secondary,no,61.0,no,yes,unknown,5.0,may,21.0,1.0,-1.0,0.0,unknown
108,59.0,retired,single,secondary,no,30.0,yes,no,unknown,5.0,may,514.0,1.0,-1.0,0.0,unknown
109,45.0,management,married,tertiary,no,523.0,yes,no,unknown,5.0,may,849.0,2.0,-1.0,0.0,unknown
110,29.0,services,divorced,secondary,no,31.0,yes,no,unknown,5.0,may,194.0,1.0,-1.0,0.0,unknown
111,46.0,technician,divorced,secondary,no,79.0,no,no,unknown,5.0,may,144.0,1.0,-1.0,0.0,unknown
112,56.0,self-employed,married,primary,no,-34.0,yes,yes,unknown,5.0,may,212.0,2.0,-1.0,0.0,unknown
113,36.0,blue-collar,married,primary,no,448.0,yes,no,unknown,5.0,may,286.0,1.0,-1.0,0.0,unknown
114,59.0,retired,divorced,primary,no,81.0,yes,no,unknown,5.0,may,107.0,1.0,-1.0,0.0,unknown
115,44.0,blue-collar,married,secondary,no,144.0,yes,no,unknown,5.0,may,247.0,2.0,-1.0,0.0,unknown
116,41.0,admin.,married,secondary,no,351.0,yes,no,unknown,5.0,may,518.0,1.0,-1.0,0.0,unknown
117,33.0,management,single,tertiary,no,-67.0,yes,no,unknown,5.0,may,364.0,1.0,-1.0,0.0,unknown
118,59.0,management,divorced,tertiary,no,262.0,no,no,unknown,5.0,may,178.0,1.0,-1.0,0.0,unknown
119,57.0,technician,married,primary,no,0.0,no,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown
120,56.0,technician,divorced,unknown,no,56.0,yes,no,unknown,5.0,may,439.0,1.0,-1.0,0.0,unknown
121,51.0,blue-collar,married,secondary,no,26.0,yes,no,unknown,5.0,may,79.0,1.0,-1.0,0.0,unknown
122,34.0,admin.,married,unknown,no,3.0,yes,no,unknown,5.0,may,120.0,3.0,-1.0,0.0,unknown
123,43.0,services,married,secondary,no,41.0,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0.0,unknown
124,52.0,technician,married,tertiary,no,7.0,no,yes,unknown,5.0,may,175.0,1.0,-1.0,0.0,unknown
125,33.0,technician,single,secondary,no,105.0,yes,no,unknown,5.0,may,262.0,2.0,-1.0,0.0,unknown
126,29.0,admin.,single,secondary,no,818.0,yes,yes,unknown,5.0,may,61.0,1.0,-1.0,0.0,unknown
127,34.0,services,married,secondary,no,-16.0,yes,yes,unknown,5.0,may,78.0,1.0,-1.0,0.0,unknown
128,31.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,143.0,1.0,-1.0,0.0,unknown
129,55.0,services,married,secondary,no,2476.0,yes,no,unknown,5.0,may,579.0,1.0,-1.0,0.0,unknown
130,55.0,management,married,unknown,no,1185.0,no,no,unknown,5.0,may,677.0,1.0,-1.0,0.0,unknown
131,32.0,admin.,single,secondary,no,217.0,yes,no,unknown,5.0,may,345.0,1.0,-1.0,0.0,unknown
132,38.0,technician,single,secondary,no,1685.0,yes,no,unknown,5.0,may,185.0,1.0,-1.0,0.0,unknown
133,55.0,admin.,single,secondary,no,802.0,yes,yes,unknown,5.0,may,100.0,2.0,-1.0,0.0,unknown
134,28.0,unemployed,single,tertiary,no,0.0,yes,no,unknown,5.0,may,125.0,2.0,-1.0,0.0,unknown
135,23.0,blue-collar,married,secondary,no,94.0,yes,no,unknown,5.0,may,193.0,1.0,-1.0,0.0,unknown
136,32.0,technician,single,secondary,no,0.0,yes,no,unknown,5.0,may,136.0,1.0,-1.0,0.0,unknown
137,43.0,services,single,unknown,no,0.0,no,no,unknown,5.0,may,73.0,1.0,-1.0,0.0,unknown
138,32.0,blue-collar,married,secondary,no,517.0,yes,no,unknown,5.0,may,528.0,1.0,-1.0,0.0,unknown
139,46.0,blue-collar,married,secondary,no,265.0,yes,no,unknown,5.0,may,541.0,1.0,-1.0,0.0,unknown
140,53.0,housemaid,divorced,primary,no,947.0,yes,no,unknown,5.0,may,163.0,1.0,-1.0,0.0,unknown
141,34.0,self-employed,single,secondary,no,3.0,yes,no,unknown,5.0,may,301.0,1.0,-1.0,0.0,unknown
142,57.0,unemployed,married,tertiary,no,42.0,no,no,unknown,5.0,may,46.0,1.0,-1.0,0.0,unknown
143,37.0,blue-collar,married,secondary,no,37.0,yes,no,unknown,5.0,may,204.0,1.0,-1.0,0.0,unknown
144,59.0,blue-collar,married,secondary,no,57.0,yes,no,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown
145,33.0,services,married,secondary,no,22.0,yes,no,unknown,5.0,may,71.0,1.0,-1.0,0.0,unknown
146,56.0,blue-collar,divorced,primary,no,8.0,yes,no,unknown,5.0,may,157.0,2.0,-1.0,0.0,unknown
147,48.0,unemployed,married,secondary,no,293.0,yes,no,unknown,5.0,may,243.0,1.0,-1.0,0.0,unknown
148,43.0,services,married,primary,no,3.0,yes,no,unknown,5.0,may,186.0,2.0,-1.0,0.0,unknown
149,54.0,blue-collar,married,primary,no,348.0,yes,no,unknown,5.0,may,579.0,2.0,-1.0,0.0,unknown
150,51.0,blue-collar,married,unknown,no,-19.0,yes,no,unknown,5.0,may,163.0,2.0,-1.0,0.0,unknown
151,26.0,student,single,secondary,no,0.0,yes,no,unknown,5.0,may,610.0,2.0,-1.0,0.0,unknown
152,40.0,management,married,tertiary,no,-4.0,yes,no,unknown,5.0,may,2033.0,1.0,-1.0,0.0,unknown
153,39.0,management,married,secondary,no,18.0,yes,no,unknown,5.0,may,85.0,1.0,-1.0,0.0,unknown
154,50.0,technician,married,primary,no,139.0,no,no,unknown,5.0,may,114.0,2.0,-1.0,0.0,unknown
155,41.0,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,114.0,2.0,-1.0,0.0,unknown
156,51.0,blue-collar,married,unknown,no,1883.0,yes,no,unknown,5.0,may,57.0,1.0,-1.0,0.0,unknown
157,60.0,retired,divorced,secondary,no,216.0,yes,no,unknown,5.0,may,238.0,1.0,-1.0,0.0,unknown
158,52.0,blue-collar,married,secondary,no,782.0,yes,no,unknown,5.0,may,93.0,3.0,-1.0,0.0,unknown
159,48.0,blue-collar,married,secondary,no,904.0,yes,no,unknown,5.0,may,128.0,2.0,-1.0,0.0,unknown
160,48.0,services,married,unknown,no,1705.0,yes,no,unknown,5.0,may,107.0,1.0,-1.0,0.0,unknown
161,39.0,technician,single,tertiary,no,47.0,yes,no,unknown,5.0,may,181.0,1.0,-1.0,0.0,unknown
162,47.0,services,single,secondary,no,176.0,yes,no,unknown,5.0,may,303.0,2.0,-1.0,0.0,unknown
163,40.0,blue-collar,married,secondary,no,1225.0,yes,no,unknown,5.0,may,558.0,5.0,-1.0,0.0,unknown
164,45.0,technician,married,secondary,no,86.0,yes,no,unknown,5.0,may,270.0,1.0,-1.0,0.0,unknown
165,26.0,admin.,single,secondary,no,82.0,yes,no,unknown,5.0,may,228.0,1.0,-1.0,0.0,unknown
166,52.0,management,married,tertiary,no,271.0,yes,no,unknown,5.0,may,99.0,1.0,-1.0,0.0,unknown
167,54.0,technician,married,secondary,no,1378.0,yes,no,unknown,5.0,may,240.0,1.0,-1.0,0.0,unknown
168,54.0,admin.,married,tertiary,no,184.0,no,no,unknown,5.0,may,673.0,2.0,-1.0,0.0,unknown
169,50.0,blue-collar,married,primary,no,0.0,no,no,unknown,5.0,may,233.0,3.0,-1.0,0.0,unknown
170,35.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5.0,may,1056.0,1.0,-1.0,0.0,unknown
171,44.0,services,married,secondary,no,1357.0,yes,yes,unknown,5.0,may,250.0,1.0,-1.0,0.0,unknown
172,53.0,entrepreneur,married,unknown,no,19.0,yes,no,unknown,5.0,may,252.0,1.0,-1.0,0.0,unknown
173,35.0,retired,single,primary,no,434.0,no,no,unknown,5.0,may,138.0,1.0,-1.0,0.0,unknown
174,60.0,admin.,divorced,secondary,no,92.0,yes,no,unknown,5.0,may,130.0,1.0,-1.0,0.0,unknown
175,53.0,admin.,divorced,secondary,no,1151.0,yes,no,unknown,5.0,may,412.0,1.0,-1.0,0.0,unknown
176,48.0,unemployed,married,secondary,no,41.0,yes,no,unknown,5.0,may,179.0,2.0,-1.0,0.0,unknown
177,34.0,technician,married,secondary,no,51.0,yes,no,unknown,5.0,may,19.0,2.0,-1.0,0.0,unknown
178,54.0,services,married,secondary,no,214.0,yes,no,unknown,5.0,may,458.0,2.0,-1.0,0.0,unknown
179,51.0,management,married,secondary,no,1161.0,yes,no,unknown,5.0,may,717.0,1.0,-1.0,0.0,unknown
180,31.0,services,married,tertiary,no,37.0,yes,no,unknown,5.0,may,313.0,1.0,-1.0,0.0,unknown
181,35.0,technician,divorced,secondary,no,787.0,yes,no,unknown,5.0,may,683.0,2.0,-1.0,0.0,unknown
182,35.0,services,married,secondary,no,59.0,yes,no,unknown,5.0,may,1077.0,1.0,-1.0,0.0,unknown
183,38.0,technician,married,secondary,no,253.0,yes,no,unknown,5.0,may,416.0,1.0,-1.0,0.0,unknown
184,36.0,admin.,married,tertiary,no,211.0,yes,no,unknown,5.0,may,146.0,2.0,-1.0,0.0,unknown
185,58.0,retired,married,primary,no,235.0,yes,no,unknown,5.0,may,167.0,1.0,-1.0,0.0,unknown
186,40.0,services,divorced,unknown,no,4384.0,yes,no,unknown,5.0,may,315.0,1.0,-1.0,0.0,unknown
187,54.0,management,married,secondary,no,4080.0,no,no,unknown,5.0,may,140.0,1.0,-1.0,0.0,unknown
188,34.0,blue-collar,single,secondary,no,53.0,yes,yes,unknown,5.0,may,346.0,1.0,-1.0,0.0,unknown
189,31.0,management,single,tertiary,no,0.0,yes,no,unknown,5.0,may,562.0,1.0,-1.0,0.0,unknown
190,51.0,retired,married,secondary,no,2127.0,yes,no,unknown,5.0,may,172.0,1.0,-1.0,0.0,unknown
191,33.0,management,married,tertiary,no,377.0,yes,no,unknown,5.0,may,217.0,1.0,-1.0,0.0,unknown
192,55.0,management,married,tertiary,no,73.0,yes,no,unknown,5.0,may,142.0,2.0,-1.0,0.0,unknown
193,42.0,admin.,married,secondary,no,445.0,yes,no,unknown,5.0,may,67.0,1.0,-1.0,0.0,unknown
194,34.0,blue-collar,married,secondary,no,243.0,yes,no,unknown,5.0,may,291.0,1.0,-1.0,0.0,unknown
195,33.0,blue-collar,single,secondary,no,307.0,yes,no,unknown,5.0,may,309.0,2.0,-1.0,0.0,unknown
196,38.0,services,married,secondary,no,155.0,yes,no,unknown,5.0,may,248.0,1.0,-1.0,0.0,unknown
197,50.0,technician,divorced,tertiary,no,173.0,no,yes,unknown,5.0,may,98.0,1.0,-1.0,0.0,unknown
198,43.0,management,married,tertiary,no,400.0,yes,no,unknown,5.0,may,256.0,1.0,-1.0,0.0,unknown
199,61.0,blue-collar,divorced,primary,no,1428.0,yes,no,unknown,5.0,may,82.0,2.0,-1.0,0.0,unknown
200,47.0,admin.,married,secondary,no,219.0,yes,no,unknown,5.0,may,577.0,1.0,-1.0,0.0,unknown
201,48.0,self-employed,married,tertiary,no,7.0,yes,no,unknown,5.0,may,286.0,1.0,-1.0,0.0,unknown
202,44.0,blue-collar,married,secondary,no,575.0,yes,no,unknown,5.0,may,477.0,1.0,-1.0,0.0,unknown
203,35.0,student,single,unknown,no,298.0,yes,no,unknown,5.0,may,611.0,2.0,-1.0,0.0,unknown
204,35.0,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,471.0,1.0,-1.0,0.0,unknown
205,50.0,services,married,secondary,no,5699.0,yes,no,unknown,5.0,may,381.0,2.0,-1.0,0.0,unknown
206,41.0,management,married,tertiary,no,176.0,yes,yes,unknown,5.0,may,42.0,1.0,-1.0,0.0,unknown
207,41.0,management,married,tertiary,no,517.0,yes,no,unknown,5.0,may,251.0,1.0,-1.0,0.0,unknown
208,39.0,services,single,unknown,no,257.0,yes,no,unknown,5.0,may,408.0,1.0,-1.0,0.0,unknown
209,42.0,retired,married,secondary,no,56.0,yes,no,unknown,5.0,may,215.0,1.0,-1.0,0.0,unknown
210,38.0,blue-collar,married,secondary,no,-390.0,yes,no,unknown,5.0,may,287.0,1.0,-1.0,0.0,unknown
211,53.0,retired,married,secondary,no,330.0,yes,no,unknown,5.0,may,216.0,2.0,-1.0,0.0,unknown
212,59.0,housemaid,divorced,primary,no,195.0,no,no,unknown,5.0,may,366.0,2.0,-1.0,0.0,unknown
213,36.0,services,married,secondary,no,301.0,yes,no,unknown,5.0,may,210.0,1.0,-1.0,0.0,unknown
214,54.0,blue-collar,married,primary,no,-41.0,yes,no,unknown,5.0,may,288.0,1.0,-1.0,0.0,unknown
215,40.0,technician,married,tertiary,no,483.0,yes,no,unknown,5.0,may,168.0,1.0,-1.0,0.0,unknown
216,47.0,unknown,married,unknown,no,28.0,no,no,unknown,5.0,may,338.0,2.0,-1.0,0.0,unknown
217,53.0,unemployed,married,unknown,no,13.0,no,no,unknown,5.0,may,410.0,3.0,-1.0,0.0,unknown
218,46.0,housemaid,married,primary,no,965.0,no,no,unknown,5.0,may,177.0,1.0,-1.0,0.0,unknown
219,39.0,management,married,tertiary,no,378.0,yes,yes,unknown,5.0,may,127.0,2.0,-1.0,0.0,unknown
220,40.0,unemployed,married,secondary,no,219.0,yes,no,unknown,5.0,may,357.0,1.0,-1.0,0.0,unknown
221,28.0,blue-collar,married,primary,no,324.0,yes,no,unknown,5.0,may,175.0,1.0,-1.0,0.0,unknown
222,35.0,entrepreneur,divorced,secondary,no,-69.0,yes,no,unknown,5.0,may,300.0,1.0,-1.0,0.0,unknown
223,55.0,retired,married,secondary,no,0.0,no,yes,unknown,5.0,may,136.0,1.0,-1.0,0.0,unknown
224,43.0,technician,divorced,unknown,no,205.0,yes,no,unknown,5.0,may,1419.0,1.0,-1.0,0.0,unknown
225,48.0,blue-collar,married,primary,no,278.0,yes,no,unknown,5.0,may,125.0,2.0,-1.0,0.0,unknown
226,58.0,management,married,unknown,no,1065.0,yes,no,unknown,5.0,may,213.0,3.0,-1.0,0.0,unknown
227,33.0,management,single,tertiary,no,34.0,yes,no,unknown,5.0,may,27.0,1.0,-1.0,0.0,unknown
228,36.0,blue-collar,married,unknown,no,1033.0,no,no,unknown,5.0,may,238.0,2.0,-1.0,0.0,unknown
229,53.0,services,divorced,secondary,no,1467.0,yes,no,unknown,5.0,may,124.0,1.0,-1.0,0.0,unknown
230,47.0,blue-collar,married,primary,no,-12.0,yes,no,unknown,5.0,may,18.0,1.0,-1.0,0.0,unknown
231,31.0,services,married,secondary,no,388.0,yes,no,unknown,5.0,may,730.0,2.0,-1.0,0.0,unknown
232,57.0,entrepreneur,married,secondary,no,294.0,yes,no,unknown,5.0,may,746.0,2.0,-1.0,0.0,unknown
233,53.0,blue-collar,married,unknown,no,1827.0,no,no,unknown,5.0,may,121.0,1.0,-1.0,0.0,unknown
234,55.0,blue-collar,married,primary,no,627.0,yes,no,unknown,5.0,may,247.0,1.0,-1.0,0.0,unknown
235,45.0,blue-collar,married,primary,no,25.0,yes,no,unknown,5.0,may,40.0,1.0,-1.0,0.0,unknown
236,53.0,admin.,divorced,secondary,no,315.0,yes,no,unknown,5.0,may,181.0,2.0,-1.0,0.0,unknown
237,37.0,blue-collar,married,primary,no,0.0,yes,no,unknown,5.0,may,79.0,1.0,-1.0,0.0,unknown
